Название,Вес,Время,Количество повторений,Время отдыха между повторениями,Краткое описание,Целевые мышцы
Жим лежа,50,0,10,90,Базовое упражнение со штангой для развития средней груди.,грудь/трицепс
Жим лежа на наклонной скамье вверх,45,0,10,90,Смещает нагрузку на верхнюю часть грудных.,грудь/плечи
Жим лежа вниз головой,55,0,12,90,Акцент на нижнюю долю груди при устойчивой фиксации.,грудь/трицепс
Отжимания на брусьях,0,0,12,75,Глубокие отжимания с собственным весом.,грудь/трицепс
Разведения гантелей лежа,18,0,15,75,Изолирующее раскрытие грудных мышц.,грудь
Сведение рук в кроссовере,15,0,15,60,Кроссовер для проработки внутренней груди.,грудь
Отжимания от пола,0,0,20,60,Классические отжимания с упором на контроль.,грудь/трицепс
Пуловер с гантелью,20,0,12,75,Растягивает грудь и широчайшие при глубоком дыхании.,грудь/спина
Жим гантелей лежа нейтральным хватом,32,0,10,90,Более мягкая нагрузка на плечевые суставы.,грудь/плечи
Жим в тренажере Смита,60,0,10,90,Контролируемый жим для безопасных сетов.,грудь/трицепс
Приседания со штангой,70,0,8,120,Базовое упражнение для ног и корпуса.,ноги/ягодицы
Фронтальные приседания,55,0,8,120,Смещают нагрузку на квадрицепсы и корпус.,ноги/кор
Приседания с гирей,24,0,12,90,Вариант goblet для мобильности и стабильности.,ноги/ягодицы
Выпады вперед со штангой,40,0,10,90,Шаговые выпады развивают баланс и ноги.,ноги/ягодицы
Выпады назад с гантелями,24,0,12,90,Контролируемый шаг назад уменьшает нагрузку на колени.,ноги/ягодицы
Болгарские сплит-приседания,20,0,12,90,Опора сзади усиливает переднюю ногу.,ноги/ягодицы
Жим ногами в тренажере,120,0,12,120,Позволяет нагружать ноги без нагрузки на спину.,ноги
Сгибания ног лежа,35,0,12,75,Изоляция задней поверхности бедра.,ноги
Разгибания ног сидя,30,0,15,75,Прицельная работа квадрицепсов.,ноги
Подъемы на носки стоя,40,0,20,60,Укрепляет икроножные мышцы стоя.,икры
Подъемы на носки сидя,35,0,20,60,Фокус на камбаловидных мышцах.,икры
Плие-приседания с гирей,20,0,15,90,Широкая стойка развивает внутренние бедра.,ноги/ягодицы
Гакк-приседания,80,0,10,120,Вертикальная траектория для квадрицепсов.,ноги/ягодицы
Приседания пистолетом,0,0,8,90,Одноногие приседания развивают баланс.,ноги/кор
Становая тяга классическая,90,0,6,150,Компаунд для задней цепи тела.,спина/ноги
Становая тяга сумо,85,0,6,150,Широкая стойка нагружает ягодицы.,спина/ягодицы
Становая тяга с гирей,32,0,12,90,Обучающий вариант с меньшим весом.,спина/ягодицы
Тяга штанги в наклоне,60,0,10,90,Развивает толщину спины.,спина
Тяга гантели к поясу,30,0,12,90,Односторонняя работа для устранения дисбалансов.,спина
