Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения,Оригинальное название на английском,Сложность,Частые ошибки
Жим штанги лёжа,30,0,6,3,120,"Лягте на скамью, лопатки сведены, стопы упираются; опустите штангу к нижней груди и выжмите вверх, не теряя напряжение.",грудь/плечи/трицепс,3.7,Barbell bench press,Средний,Развод локтей; отрыв стоп; отскок от груди; гиперпрогиб в пояснице; неполная пауза.
Жим гантелей на наклонной скамье,4,0,6,5,180,"Лягте на наклон 30–45°, гантели у груди; выжмите по дуге вверх и сведите без удара, опускайте контролируемо.",верхняя грудь/плечи,4.1,Incline dumbbell press,Средний,Сведение с ударом; провал плеч; опускание слишком низко; потеря контроля лопаток.
Разводка гантелей лёжа,6,0,6,3,90,"Лягте на скамью, лёгкий сгиб в локтях; разводите руки по широкой дуге до растяжения груди и сводите обратно.",грудь,4.4,Dumbbell flye,Новичок,Слишком прямые руки; рывки; чрезмерный вес; превращение движения в жим.
Сведение рук в кроссовере,20,0,15,3,180,"Встаньте между блоками, корпус слегка наклонён; сводите рукояти по дуге перед грудью, контролируя растяжение и сокращение.",грудь,4.2,Cable crossover,Новичок,Скручивание корпуса; рывки; сведение за счёт плеч; неверная высота траектории.
Подтягивания,0,0,10,3,90,"Возьмитесь за перекладину пронированным хватом, корпус стабилен; тянитесь грудью к перекладине, опускайтесь до полного выпрямления рук.",спина/бицепс,3.7,Pull-up,Средний,Недоразгибание локтей; раскачка; подбородок не выше перекладины; не сводите лопатки.
Тяга верхнего блока,20,0,10,3,60,"Возьмитесь широким хватом, грудь вперёд; тяните рукоять к верхней груди, сводя лопатки, поднимайте руки контролируемо.",широчайшие/бицепс,4.0,Lat pulldown,Новичок,Тяга за голову; чрезмерный прогиб; работа руками вместо спины; отбивание веса.
Тяга штанги в наклоне,20,0,10,5,120,"Станьте в наклон 30–45°, спина нейтральна; тяните штангу к нижней части живота, сводя лопатки, опускайте без рывков.",спина/задняя дельта,4.3,Bent-over barbell row,Средний,Круглая спина; подрыв корпусом; траектория слишком высоко; отсутствие паузы.
Гребля на тренажёре,30,45,0,3,180,"Сядьте, стопы закреплены, спина нейтральна; толчок ногами, затем тяга к солнечному сплетению, верните в обратной последовательности.",спина/кардио,4.8,Rowing machine,Новичок,Тянуть одними руками; ранний подсрыв корпусом; провал колен внутрь; сгибание запястий.
Становая тяга,20,0,10,5,90,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно.",задняя цепь/спина/ягодицы,4.5,Deadlift,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху.
Румынская тяга,20,0,10,3,90,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь.",бёдра/ягодицы,3.9,Romanian deadlift,Средний,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда.
Приседания со штангой,40,0,10,3,120,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину.",квадрицепсы/ягодицы/кор,4.5,Back squat,Средний,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина.
Жим ногами,50,0,6,5,90,"Стопы на платформе, поясница прижата; опускайте платформу до угла 90° в коленях и выжимайте, не выпрямляя колени в «замок».",квадрицепсы/ягодицы,3.7,Leg press,Новичок,Сведение колен; отрыв поясницы; замок в коленях; слишком узкая постановка.
Выпады,6,0,12,4,180,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь.",ягодицы/квадрицепсы,4.8,Lunge,Новичок,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком.
Гакк-присед,30,0,6,3,60,"Спина прижата к спинке, стопы чуть впереди; присядьте до параллели и выжмите, держа колени в линии носков.",квадрицепсы,3.9,Hack squat,Средний,Отрыв пяток; колени слишком вперёд; прогиб поясницы; короткая амплитуда.
Сгибания ног лёжа,20,0,8,5,120,"Лягте лицом вниз, валики над пятками; сгибайте колени до полного сокращения бицепса бедра и опускайте контролируемо.",бицепс бедра,4.1,Lying leg curl,Новичок,Отрыв таза; рывки; движение тазом; отсутствие паузы.
Разгибания ног,20,0,12,3,120,"Сядьте, валик над голенями; разгибайте колени до верхней точки без рывка, опускайте с контролем.",квадрицепсы,4.6,Leg extension,Новичок,Рывки; чрезмерный вес; разведение колен; болтающиеся стопы.
Подъёмы на носки,40,0,15,4,180,"Встаньте носками на платформу; поднимайтесь на носки, делая паузу вверху, опускайтесь до растяжения икр.",икры,4.1,Calf raise,Новичок,Короткая амплитуда; пружинение; согнутые колени; разворот носков без контроля.
Жим штанги стоя,50,0,8,3,180,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль.",плечи/трицепс,4.6,Overhead press,Средний,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания.
Жим гантелей сидя,20,0,6,3,90,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей.",плечи,4.4,Seated dumbbell shoulder press,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко.
Махи гантелями в стороны,10,0,12,4,180,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно.",средняя дельта,3.9,Dumbbell lateral raise,Новичок,Читинг корпусом; чрезмерные веса; внутренний поворот плеча.
Тяга к подбородку,60,0,15,3,60,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно.",плечи/трапеции,4.7,Upright row,Средний,Слишком узкий хват; подъём слишком высоко; излом запястий.
Шраги,10,0,10,3,120,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью.",трапеции,4.2,Shrug,Новичок,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом.
Подъём на бицепс со штангой,60,0,10,5,90,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем.",бицепс,4.8,Barbell biceps curl,Новичок,Раскачка корпусом; локти уходят вперёд; частичная амплитуда.
Подъём на бицепс молот,12,0,10,5,180,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно.",бицепс/предплечья,3.7,Hammer curl,Новичок,Локти отходят; махи; неконтролируемая эксцентрика.
