Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения
Жим штанги лёжа 1,0,0,15,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/плечи,4.4
Становая тяга 1,20,0,10,4,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",икры,4.0
Приседания со штангой 1,50,0,12,4,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",грудь/трицепс,4.5
Подтягивания широким хватом 1,20,0,12,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/бицепс,4.9
Отжимания от пола 1,40,0,15,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",предплечья,4.2
Сгибание рук с гантелями 1,0,60,0,0,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",ноги/ягодицы,4.2
Разгибание ног в тренажёре 1,40,0,10,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",ноги/ягодицы,4.6
Планка 1,30,0,15,4,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",приводящие,4.4
Подъём корпуса на пресс 1,0,60,0,0,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.8
Разведение рук с гантелями лёжа 1,30,0,10,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",икры,4.7
Жим гантелей сидя 1,5,0,10,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/поясница,4.3
Тяга верхнего блока 1,30,0,10,4,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.5
Гиперэкстензия 1,50,0,10,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.1
Выпады с гантелями 1,10,0,15,4,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/плечи,4.3
Скручивания на полу 1,10,0,12,4,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/плечи,4.4
Тяга в наклоне 1,40,0,15,4,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",приводящие,4.4
Жим ногами в тренажёре 1,10,0,15,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",пресс,4.6
Фронтальные приседания 1,30,0,12,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/поясница,4.6
Махи гирей 1,10,0,10,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/поясница,4.3
Русский твист 1,40,0,12,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",грудь/плечи,4.3
Подъем на носки стоя 1,20,0,10,4,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",икры,4.7
Тяга штанги к подбородку 1,40,0,10,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/плечи,4.7
Пулловер с гантелью 1,5,0,15,3,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",икры,4.9
Отжимания на брусьях 1,20,0,10,3,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",ноги/ягодицы,5.0
